table,load,metric,proposed_value,comparator,comparator_value,absolute_improvement,relative_improvement_pct,preferred_direction,status
performance,low,mean_latency_ms,103.19,DT-OPT,112.8,9.61,8.5195,lower,calculated_from_displayed_point_estimates
performance,low,p95_latency_ms,189.02,DT-OPT,204.38,15.36,7.5154,lower,calculated_from_displayed_point_estimates
performance,low,dmr_pct,6.03,DT-OPT,6.55,0.52,7.9389,lower,calculated_from_displayed_point_estimates
performance,low,throughput_tasks_s,52.62,DT-OPT,51.49,1.13,2.1946,higher,calculated_from_displayed_point_estimates
performance,low,energy_j,4713.0,DT-OPT,4903.0,190.0,3.8752,lower,calculated_from_displayed_point_estimates
performance,low,run_cost_index,0.83,DT-OPT,0.92,0.09,9.7826,lower,calculated_from_displayed_point_estimates
performance,low,mean_latency_ms,103.19,SemiGreedy,113.02,9.83,8.6976,lower,calculated_from_displayed_point_estimates
performance,low,p95_latency_ms,189.02,SemiGreedy,214.93,25.91,12.0551,lower,calculated_from_displayed_point_estimates
performance,low,dmr_pct,6.03,SemiGreedy,7.32,1.29,17.623,lower,calculated_from_displayed_point_estimates
performance,low,throughput_tasks_s,52.62,SemiGreedy,50.16,2.46,4.9043,higher,calculated_from_displayed_point_estimates
performance,low,energy_j,4713.0,SemiGreedy,4906.0,193.0,3.934,lower,calculated_from_displayed_point_estimates
performance,low,run_cost_index,0.83,SemiGreedy,0.98,0.15,15.3061,lower,calculated_from_displayed_point_estimates
performance,low,mean_latency_ms,103.19,Fog-only,122.03,18.84,15.4388,lower,calculated_from_displayed_point_estimates
performance,low,p95_latency_ms,189.02,Fog-only,220.72,31.7,14.3621,lower,calculated_from_displayed_point_estimates
performance,low,dmr_pct,6.03,Fog-only,7.88,1.85,23.4772,lower,calculated_from_displayed_point_estimates
performance,low,throughput_tasks_s,52.62,Fog-only,50.39,2.23,4.4255,higher,calculated_from_displayed_point_estimates
performance,low,energy_j,4713.0,Fog-only,4855.0,142.0,2.9248,lower,calculated_from_displayed_point_estimates
performance,low,run_cost_index,0.83,Fog-only,1.0,0.17,17.0,lower,calculated_from_displayed_point_estimates
performance,medium,mean_latency_ms,151.97,DT-OPT,160.93,8.96,5.5676,lower,calculated_from_displayed_point_estimates
performance,medium,p95_latency_ms,283.55,DT-OPT,299.58,16.03,5.3508,lower,calculated_from_displayed_point_estimates
performance,medium,dmr_pct,7.87,DT-OPT,10.66,2.79,26.1726,lower,calculated_from_displayed_point_estimates
performance,medium,throughput_tasks_s,104.36,DT-OPT,102.55,1.81,1.765,higher,calculated_from_displayed_point_estimates
performance,medium,energy_j,6094.0,DT-OPT,6748.0,654.0,9.6918,lower,calculated_from_displayed_point_estimates
performance,medium,run_cost_index,0.96,DT-OPT,1.08,0.12,11.1111,lower,calculated_from_displayed_point_estimates
performance,medium,mean_latency_ms,151.97,SemiGreedy,176.93,24.96,14.1073,lower,calculated_from_displayed_point_estimates
performance,medium,p95_latency_ms,283.55,SemiGreedy,324.77,41.22,12.6921,lower,calculated_from_displayed_point_estimates
performance,medium,dmr_pct,7.87,SemiGreedy,15.17,7.3,48.1213,lower,calculated_from_displayed_point_estimates
performance,medium,throughput_tasks_s,104.36,SemiGreedy,99.96,4.4,4.4018,higher,calculated_from_displayed_point_estimates
performance,medium,energy_j,6094.0,SemiGreedy,6894.0,800.0,11.6043,lower,calculated_from_displayed_point_estimates
performance,medium,run_cost_index,0.96,SemiGreedy,1.17,0.21,17.9487,lower,calculated_from_displayed_point_estimates
performance,medium,mean_latency_ms,151.97,Fog-only,176.87,24.9,14.0781,lower,calculated_from_displayed_point_estimates
performance,medium,p95_latency_ms,283.55,Fog-only,340.05,56.5,16.6152,lower,calculated_from_displayed_point_estimates
performance,medium,dmr_pct,7.87,Fog-only,18.34,10.47,57.0883,lower,calculated_from_displayed_point_estimates
performance,medium,throughput_tasks_s,104.36,Fog-only,99.3,5.06,5.0957,higher,calculated_from_displayed_point_estimates
performance,medium,energy_j,6094.0,Fog-only,7009.0,915.0,13.0546,lower,calculated_from_displayed_point_estimates
performance,medium,run_cost_index,0.96,Fog-only,1.22,0.26,21.3115,lower,calculated_from_displayed_point_estimates
performance,high,mean_latency_ms,196.63,DT-OPT,220.54,23.91,10.8416,lower,calculated_from_displayed_point_estimates
performance,high,p95_latency_ms,389.28,DT-OPT,441.6,52.32,11.8478,lower,calculated_from_displayed_point_estimates
performance,high,dmr_pct,7.17,DT-OPT,12.73,5.56,43.6764,lower,calculated_from_displayed_point_estimates
performance,high,throughput_tasks_s,157.95,DT-OPT,153.4,4.55,2.9661,higher,calculated_from_displayed_point_estimates
performance,high,energy_j,8158.0,DT-OPT,8398.0,240.0,2.8578,lower,calculated_from_displayed_point_estimates
performance,high,run_cost_index,1.22,DT-OPT,1.35,0.13,9.6296,lower,calculated_from_displayed_point_estimates
performance,high,mean_latency_ms,196.63,SemiGreedy,249.08,52.45,21.0575,lower,calculated_from_displayed_point_estimates
performance,high,p95_latency_ms,389.28,SemiGreedy,492.58,103.3,20.9712,lower,calculated_from_displayed_point_estimates
performance,high,dmr_pct,7.17,SemiGreedy,29.26,22.09,75.4956,lower,calculated_from_displayed_point_estimates
performance,high,throughput_tasks_s,157.95,SemiGreedy,147.59,10.36,7.0194,higher,calculated_from_displayed_point_estimates
performance,high,energy_j,8158.0,SemiGreedy,8766.0,608.0,6.9359,lower,calculated_from_displayed_point_estimates
