load,algorithm,mean_latency_ms_n,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_ci95,p95_latency_ms_n,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_ci95,dmr_pct_n,dmr_pct_mean,dmr_pct_sd,dmr_pct_ci95,throughput_tasks_s_n,throughput_tasks_s_mean,throughput_tasks_s_sd,throughput_tasks_s_ci95,energy_j_n,energy_j_mean,energy_j_sd,energy_j_ci95,monetary_cost_n,monetary_cost_mean,monetary_cost_sd,monetary_cost_ci95,run_cost_index_n,run_cost_index_mean,run_cost_index_sd,run_cost_index_ci95,fairness_n,fairness_mean,fairness_sd,fairness_ci95,rejection_rate_pct_n,rejection_rate_pct_mean,rejection_rate_pct_sd,rejection_rate_pct_ci95,local_pct_n,local_pct_mean,local_pct_sd,local_pct_ci95,fog_pct_n,fog_pct_mean,fog_pct_sd,fog_pct_ci95,cloud_pct_n,cloud_pct_mean,cloud_pct_sd,cloud_pct_ci95
high,DT-KF-CostAware,30,422.81153443777566,14.387481075198286,5.372367725931713,30,968.2060532721528,58.65541422140434,21.90226716318275,30,12.918165273461508,3.414392659643385,1.2749537485020435,30,17.507407407407406,0.7774675535306677,0.29031083138989844,30,209.60484249956846,21.70315740317623,8.10408311046435,30,18.141587147225792,1.7480980171766403,0.6527497982558125,30,0.3896449567634805,0.026498581105112183,0.009894721749277895,30,0.9275409907244819,0.026129521830148647,0.0097569129050885,30,2.4317049383636116,3.412385381625534,1.274204219409097,30,0.0,0.0,0.0,30,85.04662553743333,7.838706560302741,2.9270178648724476,30,12.521669524203064,5.002292183707254,1.8678845131380262
high,DT-OPT,30,425.24749269389565,15.240259399261701,5.690800029795527,30,967.466371280823,60.66011630523357,22.650834387631647,30,12.423074912396336,3.1484240675688695,1.1756395549538907,30,17.66111111111111,0.67418335885891,0.2517439223421483,30,201.79358552829834,21.091095922145943,7.875535852623543,30,17.76885047191632,1.7519551109902494,0.6541900591473347,30,0.38425973617031406,0.02364389741506443,0.008828766531404925,30,0.9311889341955636,0.025195472914953814,0.009408133697650683,30,1.5666895726446095,2.886866083738543,1.07797230775159,30,0.0,0.0,0.0,30,87.5419355314912,6.67005927225095,2.4906382831713794,30,10.891374895864178,4.463890218960388,1.6668421399897146
high,Fog-only,30,589.7633036745016,155.88301167900448,58.20760816908864,30,1354.7874678253079,583.2809088948852,217.8004275884554,30,37.499210148735315,15.927856772322956,5.947552821765319,30,17.89777777777778,0.39029739455205836,0.14573927951997784,30,124.68438348826956,14.4171652493742,5.383451966354348,30,13.906314365927365,0.751897046402244,0.2807626577718451,30,0.4107565876674127,0.02305068119485452,0.00860725620174418,30,0.9837871861045533,0.012116831643954749,0.0045244942408122985,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,100.0,0.0,0.0,30,0.0,0.0,0.0
high,SemiGreedy,30,302.5647335246788,11.354289426688883,4.239756615352515,30,526.1881296917521,28.079357973674263,10.484992873609869,30,1.0062899623671522,0.9742982459317449,0.36380853775013194,30,17.961111111111112,0.3616544688987193,0.13504384725132826,30,373.68347532436565,12.304330474334952,4.5945073765182425,30,26.809004963907153,1.1223960350713273,0.4191090992936589,30,0.342051830394808,0.010037833345566455,0.003748184384893042,30,0.6579289481891631,0.03190043230660194,0.011911803885024096,30,0.0,0.0,0.0,30,0.00825706768677013,0.035534231192007645,0.01326868517316933,30,70.61588050756141,1.7532748233316653,0.6546828472840127,30,29.37586242475181,1.7374330731458854,0.6487674471541687
low,DT-KF-CostAware,30,216.68619789055836,9.883744258489799,3.690646638431227,30,475.91875556105356,38.105463527624615,14.228798034033701,30,0.4165220141611457,0.30588729556851535,0.1142200657568669,30,4.984074074074074,0.17577132415056407,0.06563401780167119,30,102.89325793414126,12.868347344362482,4.805114501808599,30,3.542358936571023,0.34428570713071815,0.12855825226259465,30,0.24518808838889597,0.008573005389448603,0.003201209247663775,30,0.37219120081970086,0.03549124921562819,0.013252635457344106,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,99.96999395264383,0.07784741124024948,0.02906866862298799,30,0.030006047356159745,0.07784741124024858,0.02906866862298765
low,DT-OPT,30,216.6823526968671,9.892775064429703,3.6940187930229254,30,475.79102238523734,37.957299206731996,14.173472629153048,30,0.40924399378268866,0.3132735789380864,0.11697814621458336,30,4.984074074074074,0.17577132415056407,0.06563401780167119,30,102.8494228978124,12.833531118421837,4.792113923903082,30,3.54236420603282,0.34374842531186495,0.12835762815832996,30,0.2451777683993772,0.00857609626832816,0.0032023633995163824,30,0.37232792592488456,0.0353943819951482,0.013216464683162898,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,99.96999395264383,0.07784741124024948,0.02906866862298799,30,0.030006047356159745,0.07784741124024858,0.02906866862298765
low,Fog-only,30,206.25142032880095,9.09129019541359,3.394739758658292,30,445.7988405507177,33.19780934757904,12.396251892766415,30,0.007137758743754461,0.03909511473984055,0.014598339457209114,30,4.984444444444445,0.17555119059513646,0.06555181867297086,30,116.89213252844606,17.96825806580368,6.70945033528779,30,3.8575005116079777,0.3394775002707998,0.12676284031947432,30,0.24515068053844136,0.009941604121900604,0.0037122518423714,30,0.33746935938027417,0.018741282275720368,0.006998101996757519,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,100.0,0.0,0.0,30,0.0,0.0,0.0
low,SemiGreedy,30,163.14696451116816,3.690137607034699,1.3779184890435643,30,268.3832862916262,13.525344051166135,5.05044082997037,30,0.0,0.0,0.0,30,4.986296296296297,0.17611007368425072,0.06576050881510438,30,236.07924947075324,14.070095449030054,5.253854117761609,30,8.326102515400727,0.48339161970134464,0.18050119566420136,30,0.26541539245228213,0.007305101218493198,0.0027277665781643024,30,0.2297230011248874,0.03384725834713836,0.012638759863872334,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,59.05296683899334,3.119270246642736,1.164753351468199,30,40.94703316100666,3.119270246642736,1.164753351468199
medium,DT-KF-CostAware,30,289.13721242561553,14.373429077332732,5.367120629555134,30,666.3968927675836,58.869158533919325,21.98208051203479,30,2.210603068178695,0.6607459807568659,0.24672632850072124,30,9.994814814814815,0.29340318066202214,0.10955842584506303,30,132.15527846697984,14.710254503799442,5.492893170347025,30,7.456034467020754,0.584796312008453,0.21836628777875253,30,0.28689157637413804,0.00944707063859794,0.0035275902111100567,30,0.6155323418907374,0.03201693349570386,0.011955306095389657,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,99.90029116437475,0.10220565067657428,0.03816417455097232,30,0.09970883562524718,0.10220565067657386,0.038164174550972166
medium,DT-OPT,30,289.2947633344415,14.532123696088734,5.426378107888396,30,668.4606363746959,60.78455560590968,22.697300734262836,30,2.218017283547178,0.668844420758914,0.24975033231834562,30,9.994814814814815,0.29340318066202214,0.10955842584506303,30,132.09472663907945,14.795545960071177,5.524741487962669,30,7.455509457142223,0.5755592339200046,0.2149171099869682,30,0.2869299601367957,0.009536351334455979,0.0035609281336045845,30,0.6159913698424175,0.03155217896823792,0.011781764096565221,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,99.90009974115588,0.09805474656701067,0.036614203214426225,30,0.09990025884411795,0.09805474656701044,0.03661420321442613
