seed,load,algorithm,fog_node_id,completed_tasks
1000,low,DT-KF-CostAware,fog-1,7
1000,low,DT-KF-CostAware,fog-2,3
1000,low,DT-KF-CostAware,fog-3,206
1000,low,DT-KF-CostAware,fog-4,40
1000,low,DT-KF-CostAware,fog-5,47
1000,low,DT-KF-CostAware,fog-6,0
1000,low,DT-KF-CostAware,fog-7,153
1000,low,DT-KF-CostAware,fog-8,0
1000,low,DT-OPT,fog-1,7
1000,low,DT-OPT,fog-2,3
1000,low,DT-OPT,fog-3,206
1000,low,DT-OPT,fog-4,40
1000,low,DT-OPT,fog-5,47
1000,low,DT-OPT,fog-6,0
1000,low,DT-OPT,fog-7,153
1000,low,DT-OPT,fog-8,0
1000,low,SemiGreedy,fog-1,0
1000,low,SemiGreedy,fog-2,0
1000,low,SemiGreedy,fog-3,10
1000,low,SemiGreedy,fog-4,140
1000,low,SemiGreedy,fog-5,83
1000,low,SemiGreedy,fog-6,0
1000,low,SemiGreedy,fog-7,7
1000,low,SemiGreedy,fog-8,0
1000,low,Fog-only,fog-1,3
1000,low,Fog-only,fog-2,0
1000,low,Fog-only,fog-3,47
1000,low,Fog-only,fog-4,204
1000,low,Fog-only,fog-5,169
1000,low,Fog-only,fog-6,0
1000,low,Fog-only,fog-7,32
1000,low,Fog-only,fog-8,1
1001,low,DT-KF-CostAware,fog-1,0
1001,low,DT-KF-CostAware,fog-2,2
1001,low,DT-KF-CostAware,fog-3,5
1001,low,DT-KF-CostAware,fog-4,137
1001,low,DT-KF-CostAware,fog-5,34
1001,low,DT-KF-CostAware,fog-6,215
1001,low,DT-KF-CostAware,fog-7,20
1001,low,DT-KF-CostAware,fog-8,49
1001,low,DT-OPT,fog-1,0
1001,low,DT-OPT,fog-2,2
1001,low,DT-OPT,fog-3,5
1001,low,DT-OPT,fog-4,137
1001,low,DT-OPT,fog-5,32
1001,low,DT-OPT,fog-6,215
1001,low,DT-OPT,fog-7,22
1001,low,DT-OPT,fog-8,49
1001,low,SemiGreedy,fog-1,0
1001,low,SemiGreedy,fog-2,0
1001,low,SemiGreedy,fog-3,0
1001,low,SemiGreedy,fog-4,197
1001,low,SemiGreedy,fog-5,0
1001,low,SemiGreedy,fog-6,64
1001,low,SemiGreedy,fog-7,0
1001,low,SemiGreedy,fog-8,8
1001,low,Fog-only,fog-1,13
1001,low,Fog-only,fog-2,7
1001,low,Fog-only,fog-3,2
1001,low,Fog-only,fog-4,238
1001,low,Fog-only,fog-5,0
1001,low,Fog-only,fog-6,141
1001,low,Fog-only,fog-7,0
1001,low,Fog-only,fog-8,61
1002,low,DT-KF-CostAware,fog-1,1
1002,low,DT-KF-CostAware,fog-2,15
1002,low,DT-KF-CostAware,fog-3,0
1002,low,DT-KF-CostAware,fog-4,3
1002,low,DT-KF-CostAware,fog-5,136
1002,low,DT-KF-CostAware,fog-6,52
1002,low,DT-KF-CostAware,fog-7,50
1002,low,DT-KF-CostAware,fog-8,198
1002,low,DT-OPT,fog-1,0
1002,low,DT-OPT,fog-2,16
1002,low,DT-OPT,fog-3,0
1002,low,DT-OPT,fog-4,3
1002,low,DT-OPT,fog-5,136
1002,low,DT-OPT,fog-6,52
1002,low,DT-OPT,fog-7,50
1002,low,DT-OPT,fog-8,198
1002,low,SemiGreedy,fog-1,0
1002,low,SemiGreedy,fog-2,0
1002,low,SemiGreedy,fog-3,1
1002,low,SemiGreedy,fog-4,0
1002,low,SemiGreedy,fog-5,28
1002,low,SemiGreedy,fog-6,1
1002,low,SemiGreedy,fog-7,52
1002,low,SemiGreedy,fog-8,196
1002,low,Fog-only,fog-1,0
1002,low,Fog-only,fog-2,2
1002,low,Fog-only,fog-3,11
1002,low,Fog-only,fog-4,0
1002,low,Fog-only,fog-5,70
1002,low,Fog-only,fog-6,22
1002,low,Fog-only,fog-7,124
1002,low,Fog-only,fog-8,226
1003,low,DT-KF-CostAware,fog-1,73
1003,low,DT-KF-CostAware,fog-2,51
1003,low,DT-KF-CostAware,fog-3,2
1003,low,DT-KF-CostAware,fog-4,53
1003,low,DT-KF-CostAware,fog-5,34
1003,low,DT-KF-CostAware,fog-6,0
1003,low,DT-KF-CostAware,fog-7,232
1003,low,DT-KF-CostAware,fog-8,10
1003,low,DT-OPT,fog-1,72
1003,low,DT-OPT,fog-2,52
1003,low,DT-OPT,fog-3,2
1003,low,DT-OPT,fog-4,51
1003,low,DT-OPT,fog-5,36
1003,low,DT-OPT,fog-6,0
1003,low,DT-OPT,fog-7,232
1003,low,DT-OPT,fog-8,10
1003,low,SemiGreedy,fog-1,2
1003,low,SemiGreedy,fog-2,1
1003,low,SemiGreedy,fog-3,0
1003,low,SemiGreedy,fog-4,62
1003,low,SemiGreedy,fog-5,0
1003,low,SemiGreedy,fog-6,0
1003,low,SemiGreedy,fog-7,191
1003,low,SemiGreedy,fog-8,12
1003,low,Fog-only,fog-1,21
1003,low,Fog-only,fog-2,5
1003,low,Fog-only,fog-3,3
1003,low,Fog-only,fog-4,135
1003,low,Fog-only,fog-5,0
1003,low,Fog-only,fog-6,0
1003,low,Fog-only,fog-7,238
1003,low,Fog-only,fog-8,53
1004,low,DT-KF-CostAware,fog-1,0
1004,low,DT-KF-CostAware,fog-2,1
1004,low,DT-KF-CostAware,fog-3,206
1004,low,DT-KF-CostAware,fog-4,29
1004,low,DT-KF-CostAware,fog-5,20
1004,low,DT-KF-CostAware,fog-6,0
1004,low,DT-KF-CostAware,fog-7,152
1004,low,DT-KF-CostAware,fog-8,38
1004,low,DT-OPT,fog-1,0
1004,low,DT-OPT,fog-2,1
1004,low,DT-OPT,fog-3,205
1004,low,DT-OPT,fog-4,28
1004,low,DT-OPT,fog-5,23
1004,low,DT-OPT,fog-6,0
1004,low,DT-OPT,fog-7,151
1004,low,DT-OPT,fog-8,38
1004,low,SemiGreedy,fog-1,0
1004,low,SemiGreedy,fog-2,0
1004,low,SemiGreedy,fog-3,150
1004,low,SemiGreedy,fog-4,2
1004,low,SemiGreedy,fog-5,0
1004,low,SemiGreedy,fog-6,0
1004,low,SemiGreedy,fog-7,87
1004,low,SemiGreedy,fog-8,9
1004,low,Fog-only,fog-1,0
1004,low,Fog-only,fog-2,3
1004,low,Fog-only,fog-3,216
1004,low,Fog-only,fog-4,17
1004,low,Fog-only,fog-5,1
1004,low,Fog-only,fog-6,0
1004,low,Fog-only,fog-7,154
1004,low,Fog-only,fog-8,55
1005,low,DT-KF-CostAware,fog-1,16
1005,low,DT-KF-CostAware,fog-2,0
1005,low,DT-KF-CostAware,fog-3,7
1005,low,DT-KF-CostAware,fog-4,0
1005,low,DT-KF-CostAware,fog-5,147
1005,low,DT-KF-CostAware,fog-6,157
