seed,load,qos_regime,algorithm,fog_node_id,completed_tasks
10000,low,clean,DT-KF-CostAware,fog-1,2
10000,low,clean,DT-KF-CostAware,fog-2,0
10000,low,clean,DT-KF-CostAware,fog-3,107
10000,low,clean,DT-KF-CostAware,fog-4,38
10000,low,clean,DT-KF-CostAware,fog-5,106
10000,low,clean,DT-KF-CostAware,fog-6,107
10000,low,clean,DT-KF-CostAware,fog-7,86
10000,low,clean,DT-KF-CostAware,fog-8,3
10000,low,clean,DT-OPT,fog-1,2
10000,low,clean,DT-OPT,fog-2,0
10000,low,clean,DT-OPT,fog-3,219
10000,low,clean,DT-OPT,fog-4,9
10000,low,clean,DT-OPT,fog-5,143
10000,low,clean,DT-OPT,fog-6,57
10000,low,clean,DT-OPT,fog-7,22
10000,low,clean,DT-OPT,fog-8,0
10000,low,clean,SemiGreedy,fog-1,0
10000,low,clean,SemiGreedy,fog-2,0
10000,low,clean,SemiGreedy,fog-3,56
10000,low,clean,SemiGreedy,fog-4,0
10000,low,clean,SemiGreedy,fog-5,1
10000,low,clean,SemiGreedy,fog-6,201
10000,low,clean,SemiGreedy,fog-7,1
10000,low,clean,SemiGreedy,fog-8,0
10000,low,clean,Fog-only,fog-1,0
10000,low,clean,Fog-only,fog-2,0
10000,low,clean,Fog-only,fog-3,138
10000,low,clean,Fog-only,fog-4,4
10000,low,clean,Fog-only,fog-5,14
10000,low,clean,Fog-only,fog-6,242
10000,low,clean,Fog-only,fog-7,53
10000,low,clean,Fog-only,fog-8,1
10000,low,clean,DRL-OO,fog-1,0
10000,low,clean,DRL-OO,fog-2,0
10000,low,clean,DRL-OO,fog-3,216
10000,low,clean,DRL-OO,fog-4,3
10000,low,clean,DRL-OO,fog-5,86
10000,low,clean,DRL-OO,fog-6,125
10000,low,clean,DRL-OO,fog-7,21
10000,low,clean,DRL-OO,fog-8,1
10001,low,clean,DT-KF-CostAware,fog-1,26
10001,low,clean,DT-KF-CostAware,fog-2,13
10001,low,clean,DT-KF-CostAware,fog-3,114
