task_count,fog_nodes,algorithm,decision_median_us_n,decision_median_us_mean,decision_median_us_sd,decision_median_us_ci95,decision_p95_us_n,decision_p95_us_mean,decision_p95_us_sd,decision_p95_us_ci95,decision_p99_us_n,decision_p99_us_mean,decision_p99_us_sd,decision_p99_us_ci95,peak_memory_kib_n,peak_memory_kib_mean,peak_memory_kib_sd,peak_memory_kib_ci95,cpu_utilization_pct_n,cpu_utilization_pct_mean,cpu_utilization_pct_sd,cpu_utilization_pct_ci95,simulator_throughput_tasks_s_n,simulator_throughput_tasks_s_mean,simulator_throughput_tasks_s_sd,simulator_throughput_tasks_s_ci95,dmr_pct_n,dmr_pct_mean,dmr_pct_sd,dmr_pct_ci95,sla_success_pct_n,sla_success_pct_mean,sla_success_pct_sd,sla_success_pct_ci95
1000,50,DRL-OO,10,13938.925,5937.234635999883,4246.761422164992,10,30231.090999999993,29082.24137969918,20801.829190400098,10,44021.0996,58267.48612307936,41677.33421442506,1,1430.76953125,nan,nan,10,106.44646812137316,38.37010667660524,27.445216298264164,10,71.7795768925754,68.20753089660668,48.787209647485064,10,0.21000000000000002,0.19119507199599983,0.13675724569438866,10,99.78999999999999,0.1911950719960015,0.13675724569438985
1000,50,DT-KF-CostAware,10,1804.35,1113.3310623729335,796.3389853443268,10,3356.9134999999987,2039.380309371029,1458.7197835244795,10,5472.512699999999,4548.965876038739,3253.766101135888,1,1083.578125,nan,nan,10,97.54568851783876,5.028564436109133,3.596811439226998,10,315.5577545070984,195.428071568094,139.78500868253323,10,0.5599999999999999,0.2503331114069145,0.17905726577948847,10,99.44,0.25033311140691616,0.17905726577948963
1000,50,DT-OPT,10,1730.4150000000002,1041.140021549562,744.7024666634373,10,3058.7354999999993,1620.3825978958207,1159.0207778157944,10,4346.701999999999,2410.735988680082,1724.341587188631,1,1086.94921875,nan,nan,10,98.05894506934776,2.9674508306864134,2.122546350706623,10,319.1784191742022,192.2760524197817,137.53044504446947,10,0.32,0.21499353995462797,0.15377971858446524,10,99.67999999999999,0.21499353995462797,0.15377971858446524
1000,50,Fog-only,10,218.35,104.23132659831423,74.55416602450902,10,439.15699999999987,208.2174865001602,148.93297019583338,10,628.9915999999998,306.3491617376775,219.12420201346038,1,1055.48828125,nan,nan,10,88.43642145272885,31.11590515981711,22.25646007776515,10,448.78218740454275,319.3358683417416,228.41328152409807,10,0.33999999999999997,0.23664319132398462,0.16926519454683162,10,99.66,0.23664319132398534,0.1692651945468321
1000,50,SemiGreedy,10,1813.06,1131.1931750737065,809.1153258103174,10,3509.8729999999987,2094.9999313513636,1498.5031640749612,10,4567.9463,2792.7829954408494,1997.610640752319,1,1099.18359375,nan,nan,10,97.40563540676854,3.0859228999915493,2.2072865781651223,10,297.2316937786407,175.72834587559865,125.69426775225959,10,0.01,0.0316227766016838,0.022619013053567172,10,99.99,0.031622776601681994,0.02261901305356588
200,10,DRL-OO,10,576.205,515.2125362141552,368.5191603753389,10,5060.724499999998,2197.8478213514154,1572.0677911077169,10,6126.2806999999975,2307.4272597455583,1650.4473331276831,1,306.8984375,nan,nan,10,102.85652202763904,5.419347717099853,3.87632934004834,10,478.6698203066495,121.40228394181368,86.83613965342113,10,0.2,0.3496029493900505,0.2500625980894442,10,99.8,0.3496029493900505,0.2500625980894442
200,10,DT-KF-CostAware,10,334.19,298.05007390630783,213.1880636928154,10,587.4484999999997,511.5317659846638,365.88639378065557,10,873.8539999999988,655.7456013790713,469.03908863659694,1,215.734375,nan,nan,10,102.08838407170039,4.494504836082847,3.214811426497748,10,1417.691800854366,400.58598173488963,286.52953736690637,10,0.5,0.5270462766947299,0.3769835508927862,10,99.5,0.5270462766947299,0.3769835508927862
200,10,DT-OPT,10,345.95500000000004,333.02635068414634,238.2057549274612,10,659.8019999999997,629.4549026437255,450.23398289358875,10,891.924499999999,669.7766242384675,479.0751424976827,1,216.01171875,nan,nan,10,98.87077872825614,3.5895832689685694,2.567542750605371,10,1393.9192918261344,405.9292018416587,290.35141445459567,10,0.15,0.24152294576982397,0.17275556577194298,10,99.85,0.24152294576982397,0.17275556577194298
200,10,Fog-only,10,37.97,34.59723174539322,24.746569421252836,10,68.76799999999997,63.48858463447493,45.41186065625965,10,109.53479999999993,118.80204179203133,84.97624885796102,1,206.3046875,nan,nan,10,98.99701321868949,13.468156353082778,9.633448959748913,10,2394.6531265216595,715.2264195178559,511.58429011793635,10,0.4,0.3944053188733077,0.2821086575780527,10,99.6,0.3944053188733077,0.2821086575780527
200,10,SemiGreedy,10,350.70500000000004,334.677453718917,239.38674929638304,10,631.9874999999998,611.6081435002587,437.4686244586039,10,892.8597999999993,621.6180846142671,444.6284950662703,1,217.375,nan,nan,10,99.06853938954755,3.6341961994990215,2.5994533089581897,10,1417.6203873014879,417.0752841751959,298.3239396055019,10,0.0,0.0,0.0,10,100.0,0.0,0.0
50,5,DRL-OO,10,262.385,234.76717432147302,167.92332461545232,10,432.2094999999998,423.6083745004864,302.9969022997395,10,802.464199999999,654.8624625669786,468.4074006425144,1,55.9013671875,nan,nan,10,113.78101216223453,28.52921924537224,20.406265732048162,10,1916.9214628206853,534.6579110496866,382.4279702428751,10,0.2,0.6324555320336759,0.45238026107134344,10,99.8,0.6324555320336759,0.45238026107134344
50,5,DT-KF-CostAware,10,219.7,191.0651924809377,136.664345994796,10,419.8559999999999,455.8055361469649,326.0267591887368,10,578.8072999999997,573.9716375108615,410.5481351230942,1,62.484375,nan,nan,10,99.63969882472313,30.721301629636383,21.97420964439662,10,2072.1506709975815,615.3864712548634,440.1711716093026,10,0.0,0.0,0.0,10,100.0,0.0,0.0
50,5,DT-OPT,10,214.365,178.0494080148666,127.35446778742813,10,366.46099999999984,306.52105561898634,219.24715358074766,10,507.53359999999975,320.51855259535637,229.2592271824352,1,59.2109375,nan,nan,10,109.76286438711057,39.994154730122354,28.606858888502998,10,2092.8332421162027,588.1882775566122,420.7169565021625,10,0.4,0.8432740427115678,0.6031736814284578,10,99.6,0.8432740427115678,0.6031736814284578
50,5,Fog-only,10,21.64,20.55795061121933,14.70460861444405,10,33.74149999999999,29.71837497894001,21.256840284659123,10,50.76519999999998,42.705128369631055,30.54595326064801,1,55.1875,nan,nan,10,95.31318882271131,52.077686876510036,37.24991938869287,10,3730.4149306721824,1123.4092116893007,803.5476436419212,10,0.6,1.3498971154211057,0.9655490047340396,10,99.4,1.3498971154211057,0.9655490047340396
50,5,SemiGreedy,10,234.57999999999998,203.80155407759884,145.77435973073375,10,401.0799999999999,325.3371527268972,232.70585619443156,10,512.4601999999998,366.9550803317606,262.47416084440005,1,59.8984375,nan,nan,10,98.25612095801236,33.40533810788983,23.89403651167533,10,2014.1447505750734,571.3626565260126,408.68199364867155,10,0.0,0.0,0.0,10,100.0,0.0,0.0
500,25,DRL-OO,10,3993.0550000000003,3222.963575607774,2305.308484010923,10,8525.939499999997,13266.840445121148,9489.45252302133,10,18613.999599999956,41644.46342305768,29787.285083776816,1,744.5771484375,nan,nan,10,101.30376119292427,35.78527337148167,25.596347079526048,10,246.45373873653529,87.6286430411154,62.678664994516296,10,0.2,0.29814239699997197,0.21325410018565846,10,99.8,0.2981423969999709,0.21325410018565769
500,25,DT-KF-CostAware,10,640.85,694.8598000076466,497.0165360474753,10,967.6164999999995,1200.162424315628,858.4473743064852,10,1411.9512999999988,1953.878598911349,1397.5624623521555,1,538.8359375,nan,nan,10,99.06383133341842,2.278310296094529,1.629620667930048,10,913.8535948915805,273.3422511431182,195.51515113851255,10,0.72,0.35527766918597936,0.25412158894771747,10,99.28,0.3552776691859793,0.2541215889477174
500,25,DT-OPT,10,623.53,659.3597349786465,471.62419164939735,10,836.5379999999998,953.2451998398823,681.8334104564518,10,1110.2648999999997,1151.5430940867948,823.671134416054,1,540.8203125,nan,nan,10,99.10372758998699,2.335747098739198,1.6707038341914746,10,940.4093532682864,276.645870261396,197.8781505961997,10,0.36,0.2065591117977289,0.1477467745775776,10,99.64,0.20655911179772662,0.14774677457757596
500,25,Fog-only,10,73.76,65.31230869190483,46.71632669922297,10,94.37249999999996,76.31593488948131,54.58695639548764,10,134.93529999999996,103.84740773531345,74.2795580771075,1,524.76953125,nan,nan,10,98.80346604646273,3.0457391296381577,2.1785440917726873,10,1546.9817841871645,465.45330917448507,332.92757965735154,10,0.42000000000000004,0.23944379994757295,0.17126840267155724,10,99.58,0.23944379994757015,0.17126840267155524
500,25,SemiGreedy,10,638.83,701.0345966260628,501.43321985340145,10,1034.9474999999995,1501.5909303935862,1074.0519494383084,10,1498.5298999999986,2364.417722319687,1691.2112430502675,1,544.4375,nan,nan,10,97.80877372963411,2.9738545601820614,2.127126784704499,10,934.0903466996162,283.17231549686915,202.5463602171948,10,0.08,0.10327955589886445,0.0738733872887888,10,99.92,0.10327955589886592,0.07387338728878985
