sensitivity_type,configured_loss_pct,configured_jitter_ms,mean_latency_ms_n,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_ci95,p95_latency_ms_n,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_ci95,dmr_pct_n,dmr_pct_mean,dmr_pct_sd,dmr_pct_ci95,throughput_tasks_s_n,throughput_tasks_s_mean,throughput_tasks_s_sd,throughput_tasks_s_ci95,energy_j_n,energy_j_mean,energy_j_sd,energy_j_ci95,monetary_cost_n,monetary_cost_mean,monetary_cost_sd,monetary_cost_ci95,run_cost_index_n,run_cost_index_mean,run_cost_index_sd,run_cost_index_ci95,fairness_n,fairness_mean,fairness_sd,fairness_ci95,rejection_rate_pct_n,rejection_rate_pct_mean,rejection_rate_pct_sd,rejection_rate_pct_ci95,network_failure_rate_pct_n,network_failure_rate_pct_mean,network_failure_rate_pct_sd,network_failure_rate_pct_ci95,mean_packet_loss_pct_n,mean_packet_loss_pct_mean,mean_packet_loss_pct_sd,mean_packet_loss_pct_ci95,mean_jitter_ms_n,mean_jitter_ms_mean,mean_jitter_ms_sd,mean_jitter_ms_ci95,p95_jitter_ms_n,p95_jitter_ms_mean,p95_jitter_ms_sd,p95_jitter_ms_ci95,retransmission_overhead_pct_n,retransmission_overhead_pct_mean,retransmission_overhead_pct_sd,retransmission_overhead_pct_ci95,retransmission_energy_j_n,retransmission_energy_j_mean,retransmission_energy_j_sd,retransmission_energy_j_ci95,sla_success_pct_n,sla_success_pct_mean,sla_success_pct_sd,sla_success_pct_ci95,decision_median_us_n,decision_median_us_mean,decision_median_us_sd,decision_median_us_ci95,decision_p95_us_n,decision_p95_us_mean,decision_p95_us_sd,decision_p95_us_ci95
jitter,1.5,0.0,20,375.76678265313217,9.724447213252619,4.5511541956004615,20,743.7190470600864,26.237823957572335,12.279606230490376,20,7.585086443062009,1.4232663629418199,0.6661051818279228,20,17.829444444444444,0.3560719021211613,0.16664578414962933,20,228.1146899607843,17.76087506472506,8.31229573216248,20,19.321435926915832,1.3455644188797562,0.6297397698955677,20,0.4073598941159758,0.01223374488170594,0.005725534637115757,20,0.9324417194760883,0.024733825282702567,0.011575717389386616,20,0.24724658485040826,0.17422363056211254,0.08153868182089592,20,0.0,0.0,0.0,20,1.8008686935293994,0.05595228355815113,0.026186318305277952,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,1.9155933870518773,0.23617261378883458,0.11053152519211064,20,0.07793279782489836,0.010400965081304149,0.004867772412149098,20,92.41491355693799,1.4232663629418207,0.6661051818279232,20,517.365,77.10013669862958,36.08375909934838,20,1085.3172499999998,179.71734122076407,84.10980219054149
jitter,1.5,15.0,20,426.8037197944421,9.619843973030479,4.502198664744003,20,836.0153773942986,26.028317583827427,12.181554815231035,20,14.235646513759107,2.0164842559324154,0.9437380429441877,20,17.696666666666665,0.3987488555125637,0.18661909381169706,20,230.25965023630943,18.727087773007156,8.764494497265316,20,19.408112675676012,1.3731064269193922,0.6426297494179025,20,0.44800545770294803,0.01323051925706015,0.006192036617226047,20,0.943664686819029,0.02823526582387115,0.01321443221400592,20,0.9838645900490185,0.6348151587421497,0.2971008644278251,20,0.0,0.0,0.0,20,1.7935928007626558,0.05825944623811157,0.027266097225412855,20,37.34712467812153,1.2166547568163382,0.5694085514224173,20,73.7673366275067,2.7646745321399635,1.293899778618879,20,1.8960604207239058,0.2706159002025926,0.12665138311664262,20,0.07549632549165054,0.010454060521395412,0.004892621694544224,20,85.76435348624089,2.016484255932414,0.9437380429441872,20,477.57,7.437253313025264,3.4807208962160536,20,980.1034999999998,40.390012284826255,18.90299467304702
jitter,1.5,30.0,20,473.0742333072679,9.84469366426441,4.607430930722491,20,922.3743412402789,31.471510960928235,14.7290325106106,20,24.53972893918288,2.9008012914748806,1.3576086824048228,20,17.01388888888889,0.5276484913977617,0.24694561991703767,20,234.1084764427514,20.168626899844295,9.439151544741096,20,19.395368666223877,1.3263653580373531,0.620754386522268,20,0.4944376780399005,0.01766171510793755,0.00826588772114937,20,0.9340940377344766,0.03893021099454989,0.018219790721059906,20,4.741304510806382,2.084895493706283,0.9757552964695548,20,0.0,0.0,0.0,20,1.781789762022277,0.059664946592523374,0.02792388770898726,20,75.02135899222881,2.396353911020479,1.1215214517717091,20,148.3687733368345,5.279937238868983,2.4710719273006605,20,1.8936330750434827,0.23545174143350586,0.1101941485605654,20,0.07358348396850789,0.011665143103285048,0.005459422403408586,20,75.46027106081712,2.9008012914748806,1.3576086824048228,20,483.225,46.0891370350062,21.57025122236365,20,1022.2117499999998,187.70365022720904,87.84748752575618
jitter,1.5,5.0,20,395.3851137765226,10.277416350421737,4.809950171708499,20,781.1262607134032,24.378872916617798,11.409595561099712,20,9.941588003186345,1.5620284877356867,0.731047467244968,20,17.805555555555554,0.37026411731249464,0.17328790562928276,20,227.4097053745661,18.35938232473369,8.592404078452175,20,19.291066022538633,1.3786371057573537,0.6452181713246616,20,0.42212943254507984,0.011787661860871901,0.005516762604388982,20,0.9378670986846842,0.02433260737061386,0.0113879427484318,20,0.403565231655748,0.2527184461423945,0.11827516682893115,20,0.0,0.0,0.0,20,1.800317112968317,0.056076726740558094,0.026244559159416533,20,12.418814885041915,0.386746575887311,0.18100188760188843,20,24.717298844948985,0.971478064691926,0.45466301303286416,20,1.9050402522453838,0.2589717681290116,0.12120179411907138,20,0.0768083051948413,0.012835993621126154,0.00600739403920825,20,90.05841199681365,1.5620284877356858,0.7310474672449677,20,482.025,8.12976176254812,3.804822890542222,20,989.9925,50.462969030974016,23.617255376201033
jitter,1.5,50.0,20,531.3800857915311,12.636959257192586,5.914243646119536,20,1033.1840061294172,34.724994766634445,16.251700704282175,20,42.480331516493436,3.52396212421219,1.6492551869568968,20,14.39,0.7973306668708308,0.37316000901981844,20,228.18087184516608,20.710853620593195,9.692919945246157,20,18.266799402702294,1.3149306138525507,0.6154027934876163,20,0.5894069890445047,0.024155128263345718,0.011304880465716744,20,0.8992000637966664,0.05885038298672135,0.027542662484475056,20,19.39318486611098,3.9243027614911115,1.8366192531156667,20,0.0,0.0,0.0,20,1.7669483305357243,0.06505728219728936,0.030447563376460797,20,125.10605181960355,4.639712927052088,2.1714395164341624,20,249.0479078840504,9.866164734755586,4.617479640989207,20,1.8659455373999225,0.2639152310963587,0.12351539218086927,20,0.07001564493476178,0.00938032526515009,0.0043901011286692476,20,57.519668483506564,3.52396212421219,1.6492551869568968,20,478.67749999999995,65.28559016272072,30.55441415491388,20,1012.0657499999998,208.36959915821504,97.51939155493686
loss,0.0,8.0,20,402.52898267931624,9.795758972554465,4.584528926875669,20,783.8284123181606,36.22885129723736,16.95552302021877,20,11.082406119000778,1.7531723691595094,0.8205050229114578,20,17.779444444444444,0.3551400166821434,0.16620965094507806,20,226.16610391028658,18.85493423268635,8.824328124678983,20,19.221889894606836,1.3639142782620894,0.6383277171264162,20,0.4285547712449903,0.011940666795678696,0.005588370690249587,20,0.9412899888896991,0.024677142644880575,0.011549189256806525,20,0.5255814891096642,0.3216884274145293,0.15055391879843988,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,19.912970167529245,0.4117143051064574,0.19268707474913058,20,39.58396407148551,1.2040387808979955,0.5635041282224938,20,9.614343106023725e-16,9.928312700086094e-16,4.646565610295155e-16,20,0.0,0.0,0.0,20,88.91759388099922,1.7531723691595082,0.8205050229114573,20,418.81499999999994,81.39954755467173,38.09593329567902,20,898.1429999999997,243.84321313197617,114.12145473954372
loss,1.0,8.0,20,403.69970828906463,10.135342959613528,4.743458175353295,20,789.2792392173145,30.138544022291786,14.105188507724304,20,10.651640335706478,1.6783443934303726,0.7854846615253793,20,17.782777777777778,0.36866326856366405,0.17253868982914627,20,227.65176508696237,18.687520500403927,8.745976554315178,20,19.29765735085722,1.3608900201844492,0.6369123292347658,20,0.42892078879585516,0.012006248077619606,0.0056190634915896445,20,0.9390819699300608,0.023721443779420426,0.011101911092208958,20,0.5146154540909951,0.3637167366097889,0.17022365544602264,20,0.0,0.0,0.0,20,1.1994155227470311,0.03749779607514243,0.017549403908592297,20,19.93524215048057,0.5851107880569257,0.2738386418846812,20,39.53113947798391,1.3734975181090898,0.6428127846352081,20,1.2731740827400744,0.19550660268080175,0.09149935986548595,20,0.05003661171984083,0.008572434648447456,0.004011998940528251,20,89.34835966429353,1.6783443934303752,0.7854846615253807,20,395.585,41.52347497120407,19.433468369653117,20,790.6217499999997,171.84919377385393,80.42741783703222
loss,10.0,8.0,20,426.73449975487694,10.088471799051145,4.72152192804091,20,863.6271809732359,21.88618729589815,10.242989750787885,20,14.46117984190864,1.9114568187198093,0.8945839829713086,20,17.717777777777776,0.3713138081455608,0.1737791731259567,20,230.97025001575565,18.856905187721573,8.825250554518046,20,19.4250651986252,1.349639606837231,0.6316470051721649,20,0.4429792635963114,0.011875418084632059,0.005557833535949163,20,0.9446654157496116,0.029248150490508357,0.013688473997475423,20,0.7137204255931724,0.41900752716207557,0.19610038734469257,20,0.1387345533312284,0.09301928864642164,0.04353410703057664,20,11.868399923279993,0.34229030662642096,0.16019583745523241,20,19.912057978828827,0.654631491031983,0.3063751380049781,20,39.65776104420384,1.6921358182182182,0.7919392084430666,20,14.405954448288764,1.7492260190879059,0.8186580852612426,20,0.5708810416403416,0.06973350533812864,0.03263609009682706,20,85.53882015809135,1.9114568187198104,0.8945839829713093,20,489.59250000000003,29.159065914394446,13.646781381591655,20,992.2529999999999,48.68804787949285,22.78657167066199
loss,3.0,8.0,20,408.84839377145886,8.839195759178734,4.136846237418622,20,809.869939867578,21.553833241151494,10.08744419457121,20,11.284822217474455,1.4663479722019273,0.6862678751345561,20,17.77777777777778,0.3673306056934849,0.1719149881338282,20,226.467227237908,17.889441461987463,8.372466298723488,20,19.2346102204952,1.3453632181887538,0.6296456056362599,20,0.43132751344514364,0.011581076313393762,0.005420078169732971,20,0.9409551272237803,0.026959024655546903,0.0126171365302059,20,0.5053919977120318,0.37184161681042227,0.17402619370891434,20,0.0,0.0,0.0,20,3.597857558806049,0.11307318935576763,0.05291956538620565,20,19.826791255031935,0.642051563101536,0.3004875856819031,20,39.20919625422728,1.6944069108976552,0.7930021061841876,20,3.9314344231874827,0.3842865164346196,0.17985055121700017,20,0.15651550655855426,0.020611635189068448,0.009646484567377135,20,88.71517778252554,1.4663479722019273,0.6862678751345561,20,395.145,44.508310578209056,20.830406087355495,20,765.1407499999998,74.46461936762852,34.85030639036387
loss,5.0,8.0,20,413.3551770520142,9.84998182170859,4.609905849801313,20,829.8955900476163,27.51308941473118,12.876445270137086,20,11.903313392366512,1.7416687949154177,0.8151212166099491,20,17.775,0.3760689767099449,0.17600464722108988,20,227.00282849470923,17.81792853527466,8.338997418764421,20,19.25044853938748,1.3242410371992106,0.6197601797068781,20,0.4337659393733899,0.012525933234549638,0.005862282178522318,20,0.9401967015657036,0.027234720583914924,0.012746165425482549,20,0.5274906539310852,0.43039133888574826,0.20142814339621515,20,0.003121098626716604,0.013957977387639136,0.0065324954680485645,20,5.99786703481153,0.1889153559418803,0.08841457986799686,20,19.919209872808242,0.6923925099120243,0.3240477332422518,20,39.48973511975387,1.8367069920648962,0.8596001962592693,20,6.731125174558528,0.7744927067796636,0.3624715785508637,20,0.27143679475917454,0.04086162203477967,0.019123713511364274,20,88.09668660763349,1.7416687949154177,0.8151212166099491,20,405.9375,51.42168515273852,24.065945651779064,20,804.2539999999999,166.1209539493818,77.74653509492393
